id,baseline,decision,reviewer,reviewedOn,notes
motion-linear,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-ease-in-out,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-spring,catalog-replacement,accepted,codex-main+Cicero,2026-09-06,kind=catalog-replacement; corrected numeric semantics; prior row preserved in260906 evidence; schematic graphic visually reviewed
motion-bounce,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-elastic,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-back,catalog-replacement,accepted,codex-main+Cicero,2026-09-06,kind=catalog-replacement; corrected numeric semantics; prior row preserved in260906 evidence; schematic graphic visually reviewed
motion-fade,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-slide,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-scale,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-blur-reveal,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-skeleton-shimmer,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-spinner,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-progress,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-pulse,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-scroll-timeline,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-scroll-reveal,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-sticky-transition,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-expand-collapse,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-tab-transition,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
motion-list-reorder,catalog-addition,accepted,codex-main+wp8-motion,2026-07-18,"kind=catalog-addition; motion recipe guide plate generated and visually accepted"
