id,baseline,decision,reviewer,reviewedOn,notes
outfit-pretendard-product,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
noto-serif-sans-kr-readable,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
gowun-batang-pretendard-calm,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
black-han-noto-sans-kr-impact,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
song-myung-noto-sans-kr-literary,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
nanum-myeongjo-gothic-familiar,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
playfair-source-sans-classic,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
libre-baskerville-open-sans-readable,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
cormorant-lato-luxury,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
merriweather-roboto-news,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
inter-jetbrains-product,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
manrope-inter-ibm-plex-mono,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
jakarta-source-sans-code,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
space-grotesk-inter-space-mono,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
lora-source-sans-editorial,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
dm-serif-dm-sans-magazine,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
fraunces-work-sans-expressive,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
brutalist-space-mono-inter,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
art-deco-cinzel-montserrat,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
cyberpunk-orbitron-rajdhani,catalog-addition,accepted,codex-main+wp6-typography,2026-07-18,"kind=catalog-addition; pairing specimen plate generated and visually accepted; exact metrics owned by typography.json"
